strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,sample_count,data_source,lab_sources
Black Cherry Soda,0.6,0.14,0.16,0.0021,0.0012,0.0046,0.0041,0.0016,0.0033,0.0007,0.0,41,Lab-Aggregated (41 samples),Analytical 360
XJ-13,1.2,0.1,0.02,0.0013,0.0082,0.0054,0.0087,0.001,0.004,0.0039,0.0012,41,Lab-Aggregated (41 samples),"Analytical 360, SC Labs"
Agent Orange,3.5,0.09,0.08,0.0052,0.0008,0.0021,0.0018,0.0011,0.0027,0.0007,0.0,40,Lab-Aggregated (40 samples),"Analytical 360, PSI Labs"
GDP,4.4,0.11,0.19,0.0056,0.0012,0.0041,0.0079,0.0065,0.0052,0.0001,0.0009,40,Lab-Aggregated (40 samples),"Analytical 360, SC Labs"
ACDC,1.1,5.19,0.08,0.0219,0.002,0.004,0.0,0.0185,0.0023,0.0015,0.0,39,Lab-Aggregated (39 samples),"Analytical 360, PSI Labs, SC Labs"
Kimbo Kush,0.7,0.13,0.01,0.0007,0.0007,0.005,0.002,0.0012,0.0052,0.0,0.0,39,Lab-Aggregated (39 samples),"Analytical 360, PSI Labs, SC Labs"
Hawaiian Dutch,0.9,0.16,0.49,0.009,0.0022,0.0024,0.0124,0.0008,0.003,0.0007,0.0,38,Lab-Aggregated (38 samples),Analytical 360
LA Confidential,2.5,0.1,0.06,0.0024,0.0036,0.005,0.014,0.0051,0.0097,0.0,0.0001,38,Lab-Aggregated (38 samples),"Analytical 360, PSI Labs, SC Labs"
AC/DC,0.6,0.76,0.15,0.0068,0.0016,0.0036,0.0011,0.0027,0.0023,0.0009,0.0007,37,Lab-Aggregated (37 samples),"Analytical 360, SC Labs"
Blue Rhino,2.4,0.19,0.18,0.0042,0.0056,0.0056,0.0122,0.004,0.0027,0.0008,0.0,36,Lab-Aggregated (36 samples),"Analytical 360, PSI Labs"
White Russian,1.2,0.12,0.08,0.0038,0.0025,0.004,0.0095,0.0027,0.0051,0.0017,0.0004,36,Lab-Aggregated (36 samples),Analytical 360
Purple Urkle,0.7,0.08,0.16,0.0056,0.0035,0.0039,0.0093,0.0065,0.0076,0.0009,0.0,35,Lab-Aggregated (35 samples),"Analytical 360, SC Labs"
