strain_name,thc_percent,cbd_percent,cbn_percent,cannabinoid_source,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,terpene_source,primary_effects,medical_uses,effects_source,strain_type,type_source,data_quality,sample_count,lab_sources,manual_source
Cannatonic,1.8,3.73,0.26,Lab-Verified (79 samples),0.0063,0.0013,0.0028,0.0083,0.0033,0.0039,0.0002,0.0,"Lab-Verified (79 samples from Analytical 360, PSI Labs, SC Labs)",Relaxation,"Pain,Anxiety,Insomnia,Inflammation",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,79,"Analytical 360, PSI Labs, SC Labs",None
Gorilla Glue,9.2,0.07,0.06,Lab-Verified (77 samples),0.0048,0.0066,0.012,0.0013,0.006,0.0114,0.0005,0.0,"Lab-Verified (77 samples from Analytical 360, PSI Labs, SC Labs)","Euphoria,Focus,Creativity","Pain,Anxiety,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,77,"Analytical 360, PSI Labs, SC Labs",None
Sour Tsunami,0.3,0.95,0.14,Lab-Verified (77 samples),0.004,0.0031,0.0032,0.003,0.0012,0.003,0.0014,0.001,"Lab-Verified (77 samples from Analytical 360, SC Labs)",Happiness,"Inflammation,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,77,"Analytical 360, SC Labs",None
Cotton Candy,3.2,0.21,0.19,Lab-Verified (73 samples),0.0018,0.0013,0.0041,0.0062,0.0037,0.009,0.0004,0.0004,Lab-Verified (73 samples from Analytical 360),Happiness,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,73,Analytical 360,None
Trainwreck,18.0,0.1,0.0,Manual (Mendeley Dataset),0.0074,0.0047,0.0091,0.0097,0.0065,0.0069,0.0116,0.0268,"Lab-Verified (69 samples from Analytical 360, PSI Labs, SC Labs)","Energy,Euphoria,Creativity","Depression,Stress,Pain,Fatigue",Manual (Mendeley Dataset),Hybrid,Manual (Mendeley Dataset),Hybrid - Lab terpenes + Manual metadata,69,"Analytical 360, PSI Labs, SC Labs",Mendeley Dataset
AK-47,20.0,0.1,0.0,Manual (Strain Data Project),0.0055,0.0007,0.0044,0.0106,0.0029,0.0056,0.0002,0.0004,"Lab-Verified (66 samples from Analytical 360, SC Labs)","Relaxation,Euphoria,Creativity","Stress,Depression,Pain,Anxiety",Manual (Strain Data Project),Hybrid,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,66,"Analytical 360, SC Labs",Strain Data Project
Master Kush,2.8,0.09,0.13,Lab-Verified (65 samples),0.0025,0.0049,0.0048,0.0106,0.0045,0.0079,0.0003,0.0,"Lab-Verified (65 samples from Analytical 360, PSI Labs, SC Labs)","Sedation,Creativity","Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,65,"Analytical 360, PSI Labs, SC Labs",None
Afgoo,2.4,0.26,0.11,Lab-Verified (64 samples),0.0092,0.0009,0.0041,0.0097,0.0039,0.0044,0.0002,0.0012,"Lab-Verified (64 samples from Analytical 360, SC Labs)","Relaxation,Sedation","Pain,Anxiety,Insomnia",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,64,"Analytical 360, SC Labs",None
Girl Scout Cookie,4.8,0.12,0.08,Lab-Verified (64 samples),0.0041,0.0022,0.007,0.0068,0.005,0.0089,0.0004,0.0,"Lab-Verified (64 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,"Pain,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,64,"Analytical 360, PSI Labs, SC Labs",None
Chocolope,2.2,0.09,0.08,Lab-Verified (63 samples),0.0039,0.0014,0.0061,0.0074,0.0025,0.0042,0.0001,0.0,"Lab-Verified (63 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,"Pain,Anxiety",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,63,"Analytical 360, PSI Labs, SC Labs",None
