strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,primary_effects,medical_uses,strain_type,data_quality,sample_count,data_source,cbg_percent,thcv_percent,cbc_percent,cbdv_percent,sample_count
Plushberry,2.3,0.1,0.07,0.0056,0.0024,0.0051,0.0112,0.0049,0.0029,0.0011,0.0,Sedation,"Anxiety,Stress",Indica,Lab-Only - All data from laboratory testing,53,"Lab-Verified: 53 samples from Analytical 360, PSI Labs",0.33925,0.09000000000000001,0.3198214285714286,0.0,110
Blue Cheese,0.8,0.16,0.06,0.0047,0.0042,0.0049,0.0116,0.005,0.0057,0.0008,0.0002,"Sedation,Creativity","Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,52,"Lab-Verified: 52 samples from Analytical 360, PSI Labs, SC Labs",0.4706451612903226,0.2,0.20491525423728812,0.01,96
Remedy,1.3,2.55,0.15,0.0032,0.0003,0.0021,0.0065,0.0017,0.0006,0.0002,0.0,Happiness,"Inflammation,Stress",Hybrid,Lab-Only - All data from laboratory testing,52,Lab-Verified: 52 samples from Analytical 360,0.6656249999999999,0.0,0.5277173913043478,0.11,109
Ace of Spades,0.8,0.11,0.08,0.0059,0.0035,0.0045,0.0105,0.0046,0.0048,0.0014,0.0,Sedation,"Anxiety,Stress",Indica,Lab-Only - All data from laboratory testing,49,"Lab-Verified: 49 samples from Analytical 360, PSI Labs",0.23185185185185186,0.01,0.1729787234042553,0.0,84
God Bud,0.7,0.11,0.13,0.0029,0.0016,0.0037,0.0127,0.0031,0.0035,0.0005,0.0,Sedation,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,49,Lab-Verified: 49 samples from Analytical 360,0.5735483870967742,0.32,0.21314814814814811,0.0,95
Purple Arrow,0.9,0.15,0.19,0.0025,0.0001,0.0089,0.0087,0.005,0.0026,0.0009,0.0,Happiness,"Pain,Anxiety,Insomnia,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,49,Lab-Verified: 49 samples from Analytical 360,0.48681818181818187,0.0,0.22903225806451608,0.0,84
The White,2.4,0.14,0.06,0.0023,0.0011,0.006,0.0025,0.0056,0.0063,0.0005,0.0,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,49,"Lab-Verified: 49 samples from Analytical 360, PSI Labs, SC Labs",0.27448275862068966,0.17200000000000001,0.1025,0.0,89
Cheese,2.4,0.12,0.06,0.0037,0.0032,0.0092,0.0099,0.0045,0.0081,0.0008,0.0,Happiness,"Pain,Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,48,"Lab-Verified: 48 samples from Analytical 360, PSI Labs, SC Labs",0.4140384615384616,0.10166666666666667,0.2290311418685121,0.06,506
Cynex,0.6,0.11,0.05,0.001,0.0006,0.0043,0.0148,0.0042,0.0105,0.0005,0.0,Sedation,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,48,Lab-Verified: 48 samples from Analytical 360,0.2552173913043479,0.0,0.12983050847457628,0.0,72
Lemon Skunk,1.7,0.09,0.1,0.002,0.0055,0.0078,0.0141,0.0013,0.0059,0.0023,0.0,"Sedation,Euphoria,Creativity","Pain,Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,48,"Lab-Verified: 48 samples from Analytical 360, PSI Labs, SC Labs",0.7290163934426229,0.029375000000000002,0.2561538461538462,0.0,125
